timestamp,open,high,low,close,volume
1789340400000,715.95,717.24,715.94,716.94,119.989
1789340700000,716.94,717.23,716.49,716.55,171.66
1789341000000,716.55,717.04,716.44,716.74,214.362
1789341300000,716.73,716.99,715.55,715.81,274.721
1789341600000,715.8,716.75,715.8,716.75,245.28
1789341900000,716.76,716.92,716.24,716.28,86.837
1789342200000,716.29,717.15,716.16,716.61,373.739
1789342500000,716.6,716.6,715.83,715.85,270.743
1789342800000,715.84,717.03,715.73,716.65,320.164
1789343100000,716.64,717.09,716.46,717.0,102.851
1789343400000,716.99,717.0,716.67,716.88,60.951
1789343700000,716.87,716.87,716.26,716.41,91.386
1789344000000,716.41,716.9,716.01,716.21,242.301
1789344300000,716.21,718.37,716.13,717.63,513.131
1789344600000,717.62,717.62,716.66,717.18,177.167
1789344900000,717.17,718.1,717.17,718.1,191.854
1789345200000,718.09,718.09,716.48,717.06,194.466
1789345500000,717.06,717.06,713.9,714.55,557.154
1789345800000,714.56,719.17,714.45,718.45,629.793
1789346100000,718.43,719.53,718.11,719.0,260.687
1789346400000,718.95,719.99,718.95,719.99,292.131
1789346700000,719.99,720.5,719.44,719.62,318.427
1789347000000,719.61,719.85,719.19,719.73,252.43
1789347300000,719.73,719.81,718.9,718.9,102.264
1789347600000,718.9,719.17,718.51,718.82,164.028
1789347900000,718.82,719.76,718.48,719.6,362.049
1789348200000,719.61,719.99,718.6,718.69,350.163
1789348500000,718.69,718.69,715.74,715.74,2687.525
1789348800000,715.71,716.65,715.69,716.28,235.915
1789349100000,716.31,717.86,716.27,717.41,1598.782
1789349400000,717.4,717.62,715.29,715.29,250.872
1789349700000,715.28,717.35,714.63,717.34,287.116
1789350000000,717.35,717.93,716.84,716.89,554.838
1789350300000,716.88,717.85,716.63,717.54,98.04
1789350600000,717.53,718.0,716.73,717.99,597.116
1789350900000,718.0,720.3,717.99,719.91,1585.126
1789351200000,719.91,720.08,719.25,719.43,317.577
1789351500000,719.42,721.2,719.02,721.14,559.941
1789351800000,721.13,722.73,720.31,721.51,8257.555
1789352100000,721.51,721.81,721.25,721.38,344.114
1789352400000,721.38,723.04,721.04,723.03,563.1
1789352700000,723.04,724.37,723.04,723.56,1624.299
1789353000000,723.56,724.43,723.48,723.62,326.022
1789353300000,723.61,723.61,722.65,722.66,190.435
1789353600000,722.67,722.8,722.34,722.59,187.289
1789353900000,722.6,723.81,722.59,723.35,316.477
1789354200000,723.36,724.91,723.14,724.59,483.374
1789354500000,724.59,724.59,723.42,723.67,163.594
1789354800000,723.67,724.35,723.4,724.28,243.661
1789355100000,724.28,725.2,724.22,725.06,861.787
1789355400000,725.06,725.24,724.57,724.58,262.881
1789355700000,724.59,725.08,724.2,724.21,186.04
1789356000000,724.21,724.94,724.17,724.3,241.263
1789356300000,724.3,724.51,724.03,724.11,213.699
1789356600000,724.11,724.2,722.72,722.8,429.184
1789356900000,722.8,723.17,722.18,722.37,317.532
1789357200000,722.37,722.37,721.62,721.66,233.748
1789357500000,721.66,722.09,721.65,721.94,103.29
1789357800000,721.95,722.39,721.51,722.38,128.181
1789358100000,722.38,722.52,721.88,722.51,130.856
1789358400000,722.52,722.82,722.13,722.29,120.779
1789358700000,722.3,723.41,722.3,723.22,327.411
1789359000000,723.22,723.5,722.89,723.06,99.425
1789359300000,723.05,723.19,722.72,722.85,264.489
1789359600000,722.85,723.83,722.85,723.56,226.565
1789359900000,723.57,723.73,722.61,722.66,151.08
1789360200000,722.65,723.37,722.65,723.0,208.586
1789360500000,723.01,723.3,722.96,723.3,77.691
1789360800000,723.3,723.63,723.15,723.27,182.475
1789361100000,723.27,724.4,723.26,724.3,395.087
1789361400000,724.31,725.72,724.14,725.13,464.369
1789361700000,725.14,725.17,724.2,724.73,194.589
1789362000000,724.73,724.93,724.17,724.32,280.031
1789362300000,724.32,725.0,724.32,724.51,216.885
1789362600000,724.5,725.21,724.22,725.13,79.647
1789362900000,725.13,725.62,724.62,724.75,225.338
1789363200000,724.76,724.88,724.56,724.7,74.016
1789363500000,724.7,725.03,724.65,724.88,160.064
1789363800000,724.88,725.07,724.72,724.97,146.06
1789364100000,724.98,725.9,724.98,725.81,285.982
1789364400000,725.8,725.86,725.03,725.28,376.872
1789364700000,725.27,725.28,724.39,724.67,238.631
1789365000000,724.68,725.09,724.34,725.09,169.537
1789365300000,725.09,725.47,725.0,725.24,199.137
1789365600000,725.25,725.69,724.86,725.69,279.631
1789365900000,725.69,726.98,725.32,725.38,679.514
1789366200000,725.38,726.2,725.36,725.65,389.647
1789366500000,725.65,725.66,724.9,725.02,242.223
1789366800000,725.01,725.01,723.84,723.87,190.639
1789367100000,723.86,723.87,723.48,723.52,256.362
1789367400000,723.52,723.52,722.31,722.93,374.195
1789367700000,722.93,723.43,722.92,723.26,259.923
1789368000000,723.25,724.71,723.15,724.54,367.841
1789368300000,724.55,724.63,723.98,724.1,303.23
1789368600000,724.09,724.2,723.55,723.84,281.954
1789368900000,723.85,723.85,723.48,723.68,198.242
1789369200000,723.68,724.51,723.0,724.51,194.82
1789369500000,724.52,724.89,723.78,724.11,202.424
1789369800000,724.12,724.43,723.65,724.4,302.021
1789370100000,724.39,725.0,724.26,724.68,238.574
1789370400000,724.69,724.76,724.29,724.57,170.213
1789370700000,724.56,724.58,724.2,724.25,162.434
1789371000000,724.25,724.29,724.0,724.0,129.596
1789371300000,724.0,724.58,724.0,724.51,145.029
1789371600000,724.51,725.21,724.48,724.99,396.562
